Attention_leakyrelu_3_weak_10K_mem
RNN / Embed / Sent / Query / Hidden = <class 'keras.layers.recurrent.SimpleRNN'>, 128, 128, 128, 128
10K - 9
0.99500 
0.92200 
0.77600 
0.99900 
0.99000 
0.98500 
0.91700 
0.95100 
0.98500 
0.95800 
0.99800 
0.99000 
0.99500 
0.85100 
1.00000 
0.46000 
0.96700 
0.97800 
0.67100 
0.99700 
