Attention_leakyrelu_3_weak_10K_mem
RNN / Embed / Sent / Query / Hidden = <class 'keras.layers.recurrent.SimpleRNN'>, 128, 128, 128, 128
10K - Mean
0.67500 
0.33200 
0.33000 
0.80300 
0.76100 
0.69800 
0.53100 
0.43100 
0.79200 
0.59600 
0.83400 
0.75900 
0.83500 
0.50800 
0.32700 
0.25000 
0.74700 
0.83300 
0.42400 
0.71500 
