Attention_leakyrelu_3_weak_10K_mem
RNN / Embed / Sent / Query / Hidden = <class 'keras.layers.recurrent.SimpleRNN'>, 128, 128, 128, 128
10K - 7
0.63100 
0.77600 
0.82800 
1.00000 
0.93000 
0.81800 
0.93800 
0.81800 
0.82000 
0.79300 
0.46000 
0.39400 
0.23600 
0.84200 
0.87000 
0.46300 
0.71300 
0.99300 
0.44600 
0.80900 
